Id,Label,group_code
2,SD,SD
4,SD,SD
6,EPP,EPP
10,EPP,EPP
15,RENEW,RENEW
20,ECR,ECR
29,ECR,ECR
31,EPP,EPP
34,GUE_NGL,GUE_NGL
35,ECR,ECR
36,SD,SD
38,ECR,ECR
41,SD,SD
42,GUE_NGL,GUE_NGL
43,EPP,EPP
46,EPP,EPP
52,GREEN_EFA,GREEN_EFA
55,EPP,EPP
59,EPP,EPP
62,ECR,ECR
63,SD,SD
64,SD,SD
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
71,EPP,EPP
75,GUE_NGL,GUE_NGL
76,ECR,ECR
78,GREEN_EFA,GREEN_EFA
79,SD,SD
80,GUE_NGL,GUE_NGL
83,SD,SD
85,ID,ID
86,EPP,EPP
88,SD,SD
90,EPP,EPP
92,ID,ID
94,SD,SD
95,EPP,EPP
97,RENEW,RENEW
98,RENEW,RENEW
99,EPP,EPP
100,GREEN_EFA,GREEN_EFA
101,GUE_NGL,GUE_NGL
102,SD,SD
103,ID,ID
104,EPP,EPP
105,GUE_NGL,GUE_NGL
110,ECR,ECR
114,RENEW,RENEW
116,ECR,ECR
119,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
124,GREEN_EFA,GREEN_EFA
125,GREEN_EFA,GREEN_EFA
131,RENEW,RENEW
136,ECR,ECR
137,ECR,ECR
139,EPP,EPP
140,ECR,ECR
143,GUE_NGL,GUE_NGL
147,SD,SD
148,SD,SD
149,SD,SD
151,GUE_NGL,GUE_NGL
153,EPP,EPP
155,SD,SD
159,EPP,EPP
160,EPP,EPP
163,SD,SD
166,EPP,EPP
168,SD,SD
170,EPP,EPP
175,ID,ID
179,EPP,EPP
180,ID,ID
183,ID,ID
184,SD,SD
185,GREEN_EFA,GREEN_EFA
186,RENEW,RENEW
187,GREEN_EFA,GREEN_EFA
193,SD,SD
194,SD,SD
195,SD,SD
197,RENEW,RENEW
199,RENEW,RENEW
202,GUE_NGL,GUE_NGL
204,ECR,ECR
206,SD,SD
207,SD,SD
213,SD,SD
216,EPP,EPP
218,EPP,EPP
220,EPP,EPP
223,EPP,EPP
224,SD,SD
225,ID,ID
226,SD,SD
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
236,SD,SD
237,SD,SD
239,SD,SD
240,EPP,EPP
242,EPP,EPP
246,SD,SD
250,EPP,EPP
254,GREEN_EFA,GREEN_EFA
256,SD,SD
257,GREEN_EFA,GREEN_EFA
258,SD,SD
260,SD,SD
261,GREEN_EFA,GREEN_EFA
262,SD,SD
263,RENEW,RENEW
268,ECR,ECR
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
